run_id,makespan,energy,utilization,sla_violation
539,911.64,467983.79,0.8829,0.0513
540,855.33,422562.52,0.8088,0.0629
541,920.03,466352.52,0.8614,0.083
542,1034.07,502587.1,0.7774,0.0855
543,904.21,530398.21,0.8666,0.026
544,1065.03,554664.01,0.7772,0.0858
545,886.23,543319.74,0.8425,0.0495
546,962.92,506799.03,0.8296,0.0735
547,949.43,508218.33,0.8316,0.0695
548,984.34,527940.67,0.7928,0.0857
549,973.93,500868.96,0.8127,0.0612
550,1026.46,531515.94,0.7843,0.0926
551,970.23,529493.23,0.8093,0.0349
552,1015.12,500503.16,0.8057,0.0807
553,891.83,475817.64,0.787,0.057
554,967.63,490614.41,0.8157,0.0589
555,954.04,473571.57,0.8381,0.0892
556,958.59,496004.81,0.8032,0.0845
557,904.64,446680.87,0.863,0.0183
558,964.97,546836.92,0.8335,0.0673
559,911.22,497046.26,0.8806,0.0495
560,941.47,468568.6,0.8529,0.0475
561,969.3,519434.45,0.844,0.0731
562,887.93,498361.78,0.8345,0.0538
563,970.39,493350.12,0.8192,0.0498
564,944.02,503417.45,0.8066,0.0655
565,935.24,499516.75,0.8449,0.0336
566,861.56,523656.03,0.8383,0.0523
567,901.57,513110.31,0.8173,0.0597
568,868.89,496985.01,0.8433,0.048
569,943.17,484424.58,0.8439,0.0617
570,925.96,561366.86,0.8524,0.0295
571,1040.5,591383.0,0.837,0.0768
572,962.5,488990.64,0.8393,0.0566
573,974.71,527718.35,0.8093,0.043
574,973.61,529995.18,0.8524,0.0563
575,935.31,465321.57,0.8451,0.0599
576,849.07,522507.61,0.8708,0.0311
577,927.98,442394.23,0.8583,0.0547
578,1033.7,531332.11,0.8303,0.055
579,884.61,503677.3,0.8047,0.0635
580,927.75,481716.22,0.8183,0.1025
581,982.33,513448.19,0.7846,0.0553
582,988.22,547008.23,0.8235,0.0518
583,1023.36,534647.73,0.8686,0.0545
584,1089.21,555581.9,0.7797,0.0885
585,983.29,521872.96,0.8163,0.0491
586,853.69,526112.04,0.8347,0.059
587,958.24,522232.28,0.7915,0.0644
588,879.43,470811.58,0.8398,0.0663
589,831.09,516869.09,0.8844,0.0465
590,881.94,491759.08,0.8154,0.0584
591,901.59,500713.08,0.7998,0.0914
592,1006.24,496350.17,0.7895,0.0585
593,982.15,506044.5,0.8773,0.0357
594,912.81,513951.79,0.8365,0.0485
595,893.76,514304.37,0.8598,0.0028
596,914.46,452288.27,0.8374,0.0409
597,882.2,493345.01,0.7877,0.0605
598,945.34,536554.81,0.8509,0.0482
599,1014.74,540646.37,0.8236,0.0464
600,915.17,443769.5,0.8474,0.0799
601,924.78,471313.47,0.8687,0.0719
602,748.55,513114.11,0.8627,0.0364
603,928.45,555479.9,0.8513,0.0606
604,918.95,533004.23,0.8556,0.0831
605,1058.36,530308.93,0.7901,0.0714
606,899.01,504244.95,0.8252,0.0683
607,943.96,509575.14,0.8243,0.0868
608,896.33,507379.17,0.8121,0.0375
609,996.94,499358.09,0.823,0.0661
610,918.92,422196.21,0.8149,0.0853
611,854.08,525629.28,0.855,0.0397
612,983.1,458147.8,0.8037,0.093
613,875.41,416324.64,0.837,0.0227
614,1032.07,514796.08,0.774,0.112
615,970.37,420827.95,0.8172,0.0829
616,872.78,472983.74,0.7955,0.0833
617,941.79,468572.55,0.8521,0.0823
618,881.07,461512.15,0.8546,0.0423
619,963.32,495465.65,0.9059,0.0233
620,934.1,488156.01,0.8919,0.0162
621,874.3,469662.02,0.8465,0.0673
622,989.78,527652.51,0.8347,0.0682
623,905.2,472472.75,0.8044,0.0328
624,952.34,540580.06,0.8281,0.0706
625,888.29,519416.89,0.8358,0.0713
626,826.52,547312.41,0.8798,0.0449
627,989.77,532339.97,0.8407,0.0571
628,957.66,485132.8,0.7828,0.0598
629,923.29,461820.46,0.8458,0.0718
630,783.5,476238.22,0.8964,0.0677
631,952.41,461213.74,0.8456,0.0662
632,950.34,505856.94,0.8636,0.038
633,1021.39,505103.75,0.7884,0.084
634,961.39,492557.05,0.7932,0.0645
635,964.77,437951.6,0.8479,0.0829
636,842.29,457614.38,0.8572,0.0617
637,884.25,541632.82,0.8419,0.052
638,926.12,421430.58,0.833,0.0771
639,1044.84,500000.97,0.763,0.0909
640,896.71,510559.7,0.8738,0.0564
641,963.03,453708.73,0.7809,0.0823
642,881.23,525868.58,0.8089,0.0309
643,924.4,433149.77,0.8955,0.05
644,955.01,454939.48,0.8034,0.069
645,835.74,435842.36,0.8772,0.0609
646,932.4,536526.23,0.8268,0.0246
647,974.44,555410.44,0.7897,0.0567
648,958.54,561079.48,0.8164,0.0572
649,1079.46,459615.03,0.7732,0.1141
650,910.52,585013.25,0.8506,0.0497
651,887.29,498116.83,0.8128,0.0791
652,974.43,498626.66,0.8175,0.0601
653,991.16,497086.8,0.8517,0.0587
654,926.96,469106.65,0.8696,0.0297
655,911.34,510741.46,0.8808,0.0656
656,822.21,540988.36,0.8885,0.0353
657,869.08,489768.07,0.8623,0.0481
658,902.27,490299.61,0.8484,0.0417
659,1114.94,582742.48,0.8148,0.0641
660,931.93,462011.44,0.8724,0.0425
